" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
" Always run."," Correr siempre."
" Are you deaf? I said..."," ¿Estás sorda? He dicho..."
" I suspect you are a spy, sent by the Followers. I may be wrong, but I do not take chances. You must be eliminated. ","Sospecho que eres una espía enviada por los Seguidores. Puede que me equivoque, pero no pienso arriesgarme. Debes ser eliminada. "
" My child, talk to Lasher. He'll help you with that. "," Hija mía, habla con Fustigador. Él te ayudará. "
" No, but with faith and hope, we're certain to find it. But all this should be known to you, my child."," No, pero con fe y esperanza, estoy seguro de que lo encontrarás. Pero esto ya se te hará saber, hija mía."
" Oh, my child, you make no sense whatsoever. Please, find one of our physicians and get help. "," Oh, hija mía, nada de lo que dices tiene sentido, por favor, busca ayuda en uno de nuestros médicos. "
" Our plans? We are the messengers of evolution, my child. We follow the Master in his endless quest to heal the land and the people."," ¿Nuestros planes? Somos los mensajeros de la evolución, hija. Seguimos al Maestro en su interminable búsqueda de una cura para la tierra y los hombres."
" These are wondrous days. Junktown now joins in Adytum and the Hub in our quest to save body and soul. Is there more you wish to know, my child? "," Estos son días maravillosos. Ciudad Vertedero se une ahora a Adytum y al Eje en nuestra campaña para salvar el cuerpo y el alma. ¿Hay algo más que desees saber, hija mía? "
" Yes, but you are... forgiven. Go in peace, my child. "," Sí, pero tú estás... perdonada. Ve en paz, hija mía. "
" Yes, you were, but you are forgiven. Now, if there are no more questions, I have work to do. "," Sí, lo estabas, pero estás perdonada. Si no tienes más preguntas, tengo trabajo que hacer. "
" You are a pathetic liar. Tell me the real reason you are here now... before I have you skinned alive. ","Eres una mentirosa patética. Dime la verdadera razón de tu presencia ahora mismo... si no quieres que te arranque el pellejo. "
" You are poisoned at level "," Estás envenenada a un nivel "
" caps. If you want more work, just go talk to the boss. I'd be more than happy to work with you again. I'll put in a good word for you with the boss. Take it easy."," chapas. Si quieres más trabajo, ve y habla de nuevo con el jefe. Me encantaría volver a trabajar contigo. Hablaré en tu favor ante el jefe. Tranquila."
" irradiated"," irradiada"
" the game and are thoroughly confused.)"," juego y te sientes muy confusa.)"
" you realize you're lying on the floor, face down...)"," das cuenta de que estás tumbada en el suelo, boca abajo...)"
"(He laughs at you.) Friend, I don't think you have a chance of getting in here. The Elders have a minimum IQ requirement for new Initiates.","(Se ríe de ti.) Amiga, no creo que puedas entrar aquí. Los Ancianos establecen un coeficiente intelectual mínimo para las nuevas Iniciadas."
"*sigh* You're simply not ready to understand the differences. Okay. So why don't you just think about it, then come back to talk.","*suspiro* Sencillamente, no estás preparada para entender la diferencia. Está bien. Entonces por qué no piensas un poco sobre ello, vuelves y seguimos hablando."
", the new Initiate from the outside. My name's Jerry, I'm your new roommate. I'm an Initiate too! I've been studying so hard. Are you an Initiate Knight or Scribe?",", la nueva Iniciada del exterior. Me llamo Jerry, soy tu nuevo compañero de habitación. ¡Yo también soy un Iniciado! He estudiado mucho. ¿Eres una Iniciado Caballero o Escriba?"
". Am I glad it's you and not some raider! How's it going! I'm Lance, one of the guards over in Shady Sands. Sorry we gave you such a hard time when you first came to town!","¡Me alegra que seas tú y no una saqueadora! ¿Qué tal? Soy Lance, uno de los guardias de Arenas Sombrías. Lamento la bienvenida que te dimos la primera vez que viniste a la ciudad."
". I thought you were our friend when you rescued Tandi, but now I hear some real nasty rumors about you. Are they true?",". Pensé que eras nuestra amiga cuando rescataste a Tandi. Pero acabo de oír rumores desagradables sobre ti. ¿Son ciertos?"
". Let me know when you're ready to leave. It pays the standard 400 caps.",". Cuando estés lista para irte házmelo saber. La paga estándar es de 400 chapas."
"A Master Thief has a one-time bonus of +10% to the Sneak, Lockpick, Steal and Traps skills. Rob from the rich, and give to you.","Una Ladrona Magistral tiene un bono del 10%, de un solo uso, en las habilidades Sigilo, Ganzúa, Robar y Trampas. Roba a los ricos y dátelo a ti."
"A Smooth Talker has learned to increase their options in dialogue, without understanding what they are talking about. Each level of this Perk will increase your IN by one, for purposes of dialogue only.","Una buena Convincente sabe como incrementar las opciones de diálogo, aunque no sepa de qué está hablando. Cada nivel de esta Ventaja aumenta tu IN en uno, solo en el caso de los diálogos."
"A Vault. How shall I trust you, wanderer, when you are not honest with me?","Un Refugio. ¿Cómo voy a confiar en ti, moradora, si no eres honesto conmigo?"
