" I've missed you."," Я скучала по тебе."
"Again? I already said this... ","Снова? Я уже говорила... "
"Ah, once more? Well, I said... ","А, еще раз? Ну я сказала... "
"As I said before... ","Как я уже говорила... "
"As said... ","Как я сказала... "
"Completely Mental","Абсолютно Чокнутая"
"Each level of Educated will add +5 skill points when you earn a new experience level. This Perk works best when purchased early in your adventure.","Каждый уровень способности Образованная добавляет 5 дополнительных очков навыков при получении нового уровня. Эта способность намного выгоднее, если приобрести ее в начале путешествия."
"Gotcha! I don't have it anymore!","Попалась! У меня его больше нет!"
"Greetings traveler. We have heard tales of one who traverses the Wasteland. How might we be of service to you today?","Приветствую, путешественница. Мы слышали рассказы о той, которая пересекает Пустошь. Как мы можем помочь тебе сегодня?"
"Hope you enjoyed your life; it's about to flash before your eyes","Надеюсь, ты наслаждалась жизнью. Сейчас она пройдет у тебя перед глазами"
"I don't care about the clothes, man. I just want to know what's going on here!","Я не парюсь насчет шмоток, подруга. Просто хочу узнать, что тут происходит!"
"I said to lay off the drugs, bitch!","Я же сказала, к чёрту наркотики, сука!"
"I said to lay off the drugs, man!","Я же сказала, к чёрту наркотики, мужик!"
"I said... ","Я сказала... "
"In Scrapheap, if you ain't with us, you're either a loser or a Fool. What are you?","Здесь, на Свалке, если ты не с нами, то ты либо неудачница, либо Шут. Ну так кто ты?"
"Interesting. I bet the full version will be a great game!","Было интересно. Готова поспорить, полная версия будет отличной игрой!"
"Just leave me the hell alone, you loser. Sinthia might be your kind of woman, but I sure as hell ain't.","Катись отсюда ко всем чертям, неудачница. Может, Синтия тебя и пригреет, но со мной этот номер не пройдет!"
"My arm! What have you done to my arm?!","Моя рука! Что ты сделала с моей рукой?!"
"Okay! I already told you this... ","Ладно! Я тебе уже говорила об этом... "
"Okay, you made it. I can't pay you anything since all of the brahmin died. You cost us a lot of money, bub. No brahmin, no caravan, no money. I hope they don't let you work with us again.","Ну, ты вернулась. К несчастью, мы потеряли всех браминов. И из-за тебя мы влетели на круглую сумму крышек. Ни браминов, ни каравана, ни крышек, ничего! Надеюсь, больше тебе не позволят работать у нас."
"Okay, you made it. I can't pay you anything since we lost the whole caravan. Gotta cover our losses y'know. I wish it could be different but that's the rules.","Ну, ты вернулась. К сожалению, мы потеряли караван и я не смогу тебе заплатить. Необходимо покрыть наши потери. Хотелось, чтобы все было по другому, но увы, правила есть правила."
"One-Hander","Однорукая"
"Oof! You have earned days of agony for this!","Уфф! Этим ты заслужила долгие дни сладкой агонии!"
"Otherwise I'll just give it to someone else, don't worry about it. You're not obligated... until you leave with the caravan, right?","Иначе я просто найду кого-то другого, не волнуйся. Ты никому не обязана ... пока не покинешь караван, верно?"
"Perks add additional abilities. You can choose one perk every third experience level, or every fourth experience level if you have the Skilled trait.","Способности прибавляют дополнительные качества. На каждом третьем уровне (каждом четвертом, если у вас есть особенность Умелая) вы можете выбрать одну способность."
"Radiant","Сияющая"
"They call us Fools, but you's just stupid for showing up here.","Нас называют Шутами, ну а ты просто дура, раз показалась здесь."
"This ain't like shooting mole rats, pal.","Это тебе не кротокрысов стрелять, подруга."
"This ain't no game, man. You either a Crypt or you gonna be buried.","Это не игра, чувиха. Ты либо Склеп, либо будешь похоронена."
"This line shows how many nice friendly doggies you have sent to the great kennel in the sky, you jerk.","Эта строка показывает, сколько приятных и дружелюбных собак ты отправила в великий небесный питомник, сучка."
"We thank you for getting rid of the Crypts and the Fools. Without the power generator, my people will have a poor life. Do you think you could fix it?","Мы благодарим тебя за то, что избавила нас от Склепов и Шутов. Хотя без электрогенератора моим людям придется несладко. Как ты думаешь, сможешь его починить?"
"Welcome to the gang, man.","Добро пожаловать в банду, чувиха."
"Well, I'm quite certain I told you this already, but... ","Ну, я точно уверена, что уже говорила тебе об этом, но... "
"Well, as I said before... ","Ну, как я уже говорила... "
"Well, as I said... ","Ну, как я говорила... "
"Why don't you put everything right back where you found it?","Почему бы тебе не вернуть все туда, откуда ты это взяла?"
"You didn't show me yours first!","Ты первая показывай!"
"You gotta get yourself some leather. You a Crypt now.","Придется тебе найти что-нибудь кожаное, ты теперь одна из Склепов."
"You made the wrong choice. Now you gonna be buried.","Ты сделала неправильный выбор. И теперь будешь погребена."
